Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
462,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,954280.56,3.0774074,38440.7,33887,
463,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,735580.75,1.6022375,31801.715,29937,
464,57,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1369853.6,304.35547,89995.73,37721,
465,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,824632.0,127.25348,32047.16,35652,
466,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,919434.4,46.20038,24959.016,38505,
467,36,0.2,0.1,0.3,0.2,Fair,0.05,0.15,803848.25,1.838851,41063.547,21417,
468,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1474235.2,399.34314,137787.16,41144,
469,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,803848.25,37.253113,23340.027,38818,
470,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1108659.2,2.0637398,41444.85,35995,
471,40,0.2,0.1,0.3,0.2,Fair,0.05,0.15,839777.44,35.45613,26589.246,29364,
472,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,648583.75,110.698135,35583.973,27305,
473,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,648349.44,1.3392692,31203.785,33608,
474,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1169971.9,1.6667936,35757.426,35212,
475,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,942132.1,136.49103,33242.336,26525,
476,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,861038.44,58.87094,21045.81,34496,
477,61,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1105567.2,2.0979037,39056.18,45093,
478,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1247382.5,270.4182,79226.35,37671,
479,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1238807.0,361.44238,123715.234,34870,
480,55,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1203389.2,2.9669123,60178.754,41642,
481,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,964979.7,152.98145,29847.125,35066,
482,65,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1180986.2,263.08984,62955.36,49639,
483,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,737841.56,1.2597852,35672.9,30145,
484,62,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1212089.5,2.4379117,57636.9,40667,
485,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1270751.5,47.86151,52415.547,45939,
486,31,0.2,0.1,0.3,0.2,Fair,0.05,0.15,662932.94,1.5167856,38995.344,20734,
487,53,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1062830.2,238.37,65078.168,30537,
488,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,605912.94,100.19867,16314.303,26718,
